scene,lap2mean_mean,lap2mean_std,lap2mean_max,lap2mean_min,lap2mean_median,lap2std_mean,lap2std_std,lap2std_max,lap2std_min,lap2std_median,bitrate,ssim
hevc_3_6_6,22.26680588,0.426958325,23.62150039,21.63988534,22.20669628,17.71180207,0.340030492,18.85127068,17.19189072,17.66900921,193.27,0.9769768
hevc_3_20_8,22.67034402,2.736237549,26.70557629,16.00842064,22.99597133,18.60207326,2.146562041,21.82383156,13.63477707,18.90904808,108.78,0.9940603
hevc_3_65_8,30.53447544,2.736476729,35.17793602,23.94407878,31.45764898,23.58191821,1.996698426,27.21404648,18.84357262,24.11820412,402.5,0.9903913
hevc_5_17_8,3.8888105,0.30248183,4.820850212,3.455765625,3.789427298,3.445467292,0.322280829,4.433170795,3.003344536,3.326504111,76.35,0.9864882
hevc_5_26_8,10.4636045,0.14588571,10.84859936,10.16099912,10.44572043,9.626624736,0.129247688,9.974071503,9.361316681,9.60929966,75.09,0.9796289
hevc_5_35_4,12.0724294,3.785161609,17.49463506,6.597193104,12.20646686,11.31296917,3.598569355,16.49281311,6.075093746,11.5035677,234.37,0.9802249
hevc_5_40_2,10.29684388,0.878581724,11.83024242,8.601478237,10.47468385,9.824530196,0.850013511,11.30663013,8.165328979,10.01374626,146.44,0.9837031
hevc_5_47_3,9.657873488,0.334863058,10.99724857,9.096840245,9.644832748,8.975602508,0.333576706,10.29824257,8.450322151,8.953742504,105.44,0.9780305
hevc_5_56_3,5.586975825,4.089373215,14.53103001,2.339049037,3.270330955,4.94126082,4.15193241,13.99407864,1.647704363,2.63078618,91.52,0.9829275
hevc_5_62_3,21.39197477,0.641399137,23.03114797,20.23160801,21.33678774,18.17072966,0.625376572,19.82193756,17.1137867,18.08666229,185.82,0.9806091
hevc_5_66_6,7.682521905,2.231307025,10.24840775,2.271676027,8.708263586,6.887255777,2.120068548,9.351582527,2.013769627,7.91837883,65.09,0.9776873
hevc_5_80_4,11.53951609,2.106124464,13.99855743,6.701272633,12.28097417,10.72942729,1.950664736,13.14121628,6.228040695,11.36038399,174.1,0.9795629
hevc_5_85_4,6.688455212,0.644523063,7.637353864,5.390856221,6.896609993,6.086993014,0.590587326,7.04353714,4.846229553,6.278976917,105.78,0.9800417
