scene,lap2_meanmean,lap2_meanstd,lap2_meanmax,lap2_meanmin,lap2_meanmedian,lap2_stdmean,lap2_stdstd,lap2_stdmax,lap2_stdmin,lap2_stdmedian,bitrate2,ssim2,,label
clip_1,13.46931644,1.360218634,16.27587427,10.84128826,13.48343487,12.69996292,1.263398541,15.25515652,10.23825073,12.7169919,467.96,0.9718464,,0
clip_2,12.64520392,2.337505634,16.87864634,7.950247073,13.31787921,11.94490175,2.036914546,15.69569969,7.86896944,12.53078175,442.79,0.978936,,0
clip_3,12.87143315,1.954864131,17.42526593,10.07088297,12.28599873,12.04543869,1.675757823,15.94422054,9.636556625,11.56320143,501.76,0.9758244,,0
clip_4,23.37186508,0.843894188,25.27344112,21.73583383,23.19927965,20.9973224,0.740704461,22.71109009,19.75510406,20.77680111,362.25,0.9763819,,0
clip_5,36.43041958,1.50595971,40.16736987,32.60437342,36.20847817,32.03414753,1.338510595,35.39920425,28.72748184,31.81340885,571.98,0.9784272,,0
clip_6,18.02152472,1.154419488,19.98171466,15.1263064,18.39824757,16.34826144,0.995234144,18.020504,13.88337612,16.6759119,229.35,0.9815255,,0
clip_7,19.4439038,2.119402552,25.48790978,15.09876189,19.50228828,17.4857894,1.728836237,22.26802635,13.89997005,17.51811409,633.71,0.969647,,0
clip_8,21.09707025,0.885411265,23.45152705,19.99684271,20.74513251,18.4236483,0.718108438,20.39164543,17.52900124,18.10634422,579.87,0.9692814,,0
clip_9,16.7515043,2.389871287,23.8931145,12.95871458,15.86825837,15.89394824,2.078848424,21.89348793,12.42643356,15.03981495,229.97,0.9857587,,0
clip_10,15.81232214,0.589446343,17.00164248,14.65761223,15.71755819,13.88569494,0.469036421,14.76645184,12.95930004,13.7507782,450.82,0.9757022,,0
clip_11,12.69400229,1.518986801,17.038158,10.34383998,12.52030308,11.57578832,1.211509722,15.2467556,9.706846237,11.35880995,507.49,0.9661593,,0
clip_12,9.761697489,0.511804559,10.86887266,8.405388657,9.83643223,8.59654913,0.444245349,9.753806114,7.585031986,8.62312603,437.34,0.9795398,,0
clip_13,5.828512124,2.210119836,9.691798678,2.705381389,4.89866953,5.311840403,2.108259062,8.828720093,2.337233067,4.372223616,262.99,0.9867723,,0
clip_14,13.85638562,1.824321183,15.09258081,9.776281295,15.06712277,12.99973635,1.858523339,14.24825478,8.956023216,14.223032,96.38,0.9910382,,0
clip_15,7.260356501,1.299264715,9.087329184,3.888049273,7.224631816,6.634158212,1.297512481,8.420776367,3.155271292,6.624351978,116.99,0.9875289,,0
clip_16,13.66458253,3.197926357,18.36723984,5.625207855,13.06476716,12.20899181,3.108660869,16.67712402,4.605072975,11.86989975,226.6,0.9835134,,0
clip_17,18.8279375,6.677464531,39.05804662,0.985671355,20.65573746,17.29793096,6.261575923,35.54217911,0.769538641,18.73931217,591.84,0.9763026,,0
clip_18,19.6128013,1.036158001,21.75720376,16.78189103,19.76050296,19.94924302,1.013432474,21.94412422,17.22432137,20.07283211,138.53,0.9869322,,0
clip_19,16.22255729,5.497919075,32.60805729,9.980088438,14.08840685,16.71050675,5.464341975,32.67831802,10.39410973,14.65591049,240.67,0.9809837,,0
clip_20,3.800445637,1.041130467,4.506597557,0,4.121477992,2.844423978,0.795445058,3.404683352,0,3.12387085,46.4,0.9908667,,0
clip_21,6.215481148,0.481611963,7.203510795,5.384713733,6.145111697,5.094051513,0.478259592,6.131609917,4.466155052,4.926285744,95.74,0.9889017,,0
clip_22,6.492232909,0.454781335,7.274999203,5.02156376,6.59335974,5.151432333,0.484428315,5.865086555,3.471940517,5.259050846,109.67,0.9890311,,0
clip_23,6.400600712,0.598437541,8.446760507,3.996372366,6.372193399,4.884019572,0.52760115,6.454922199,2.994485617,4.889184713,157.59,0.9813223,,0
