clips,flow_1,flow_2,flow_3,flow_4,flow_5,flow_6,flow_7,flow_8,flow_9,flow_10,mean
hevc_3_6_6,0.010637213,0.010373356,0.01024031,0.010126529,0.009624183,0.00959781,0.009248331,0.009183741,0.008411849,0.007985465,0.009542879
hevc_3_20_8,0.017604974,0.013467372,0.013074854,0.012438712,0.007566509,0.006549023,0.006056383,0.005424331,0.004928151,0.004904386,0.009201469
hevc_3_65_8,20.82809388,20.57068061,16.92789725,16.23574429,15.45310146,12.23494634,12.02406439,10.78850803,9.814410248,9.752970886,14.46304174
hevc_5_17_8,0.255900867,0.200939919,0.175456175,0.175295728,0.154183351,0.085966718,0.069394776,0.063429434,0.040873084,0.035475915,0.125691597
hevc_5_26_8,0.003013968,0.002919886,0.002884235,0.002734087,0.002491896,0.00209596,0.001673754,0.001424704,0.001366272,0.000843465,0.002144823
hevc_5_35_4,19.61752503,19.58336935,18.53936398,17.77368934,16.07712565,10.76921572,9.991001148,9.280796438,8.918703099,7.911822964,13.84626127
hevc_5_40_2,0.596577553,0.448417373,0.435728712,0.434215617,0.431063186,0.429607948,0.376421615,0.171687717,0.163168619,0.149297077,0.363618542
hevc_5_47_3,0.262648322,0.219511454,0.191754179,0.163395409,0.15923913,0.11670574,0.067918725,0.064047575,0.051380314,0.050668254,0.13472691
hevc_5_56_3,0.036057896,0.029424912,0.028749271,0.022670799,0.019753497,0.0174221,0.015547253,0.015103428,0.01428284,0.013016301,0.02120283
hevc_5_62_3,0.028522891,0.025024101,0.019204406,0.018580443,0.016324162,0.015529307,0.01401003,0.013536304,0.012995391,0.012236797,0.017596383
hevc_5_66_6,0.011320667,0.011199989,0.009495449,0.008555019,0.008333099,0.008202526,0.006454391,0.005851057,0.005433011,0.003488748,0.007833396
hevc_5_80_4,22.89846108,18.38102913,16.37338955,10.68335408,8.37258222,5.917440755,5.021736698,2.903204236,2.76817499,2.667201573,9.598657431
hevc_5_85_4,3.654986244,3.193484548,2.962141962,2.337844755,2.132559409,1.961580691,1.226379871,1.212766683,1.126197321,1.098601424,2.090654291
hevc_5_92_3,0.054109701,0.053842125,0.025562334,0.014896316,0.014806273,0.013978052,0.013757474,0.013131793,0.012935904,0.010974136,0.022799411
hevc_5_96_20,0.115362275,0.111124056,0.095226497,0.089334849,0.059875537,0.044041519,0.042853791,0.042025588,0.029857471,0.024900721,0.06546023
hevc_5_117_2,2.113637594,2.032062351,1.651839427,0.891533562,0.868194273,0.343924501,0.31418677,0.160663136,0.123273416,0.074756456,0.857407149
hevc_5_120_6,7.15565361,5.187942583,5.033799152,4.102708334,2.824945583,1.410592556,1.313855212,1.03866771,1.026787262,0.379021762,2.947397376
hevc_5_134_3,0.869716754,0.753592097,0.69096886,0.671204306,0.589116029,0.441482214,0.429719914,0.180395529,0.134519938,0.080496168,0.484121181
hevc_5_139_4,0.003169792,0.003066332,0.00302793,0.002980321,0.002697677,0.0024153,0.002163374,0.001921286,0.00189865,0.001862264,0.002520293
hevc_5_150_5,0.004938568,0.004741287,0.004701858,0.003876032,0.003728851,0.003654575,0.003240183,0.003206766,0.002695362,0.002341324,0.003712481
hevc_5_156_2,91.9436357,86.15106878,78.02474754,68.89869097,56.36582495,42.5906806,39.41372147,29.86588294,26.34545771,20.65341011,54.02531208
hevc_5_163_26,4.142223745,3.89009132,3.826850087,3.133040212,2.885605804,2.812560842,2.398961215,2.300552036,2.02312741,1.616407252,2.902941992
hevc_5_190_2,0.013401896,0.013359019,0.013295485,0.012802178,0.012314143,0.011980687,0.01173424,0.011612644,0.011192837,0.010969247,0.012266238
hevc_5_193_4,0.62047746,0.287725353,0.255429786,0.193935749,0.029513469,0.025425082,0.022221111,0.016678423,0.014198649,0.012249152,0.147785423
hevc_5_203_3,0.011142043,0.010835299,0.010713001,0.010437451,0.010176683,0.009845046,0.008911226,0.00874767,0.008604088,0.008560849,0.009797336
